# analysis name               signal region                                               best?     sig95(exp)     sig95(obs)     1-CLs     ||    efficiency     stat           
atlas_susy_2018_31            SRA                                                         0         1.6207427      1.6219672      1.0000    ||    0.0000500      0.0001257      0.0000000      
atlas_susy_2018_31            SRA_L                                                       0         1.8933571      2.8503169      0.9999    ||    0.0000300      0.0000973      0.0000000      
atlas_susy_2018_31            SRA_M                                                       0         2.9399166      2.2134138      0.9999    ||    0.0000150      0.0000688      0.0000000      
atlas_susy_2018_31            SRA_H                                                       0         8.5573540      7.0409015      0.9021    ||    0.0000050      0.0000397      0.0000000      
atlas_susy_2018_31            SRB                                                         1         0.5217908      0.5199837      1.0000    ||    0.0000750      0.0001539      0.0000000      
atlas_susy_2018_31            SRC                                                         0         7.7144837      11.9233505     0.5420    ||    0.0000150      0.0000688      0.0000000      
atlas_susy_2018_31            SRC_22                                                      0         9.5913061      14.1586523     0.4516    ||    0.0000100      0.0000562      0.0000000      
atlas_susy_2018_31            SRC_24                                                      0         12.7626087     15.4213641     0.5141    ||    0.0000050      0.0000397      0.0000000      
atlas_susy_2018_31            SRC_26                                                      0         -1             -1             0.0000    ||    0.0000000      0.0000000      0.0000000      
atlas_susy_2018_31            SRC_28                                                      0         -1             -1             0.0000    ||    0.0000000      0.0000000      0.0000000      
atlas_susy_2018_31            [pyhf]-RegionA-profile                                      0         1.5036300      1.4583464      1.0000    ||                                  
atlas_susy_2018_31            [pyhf]-RegionB-profile                                      1         0.5046301      0.4683876      1.0000    ||                                  
atlas_susy_2018_31            [pyhf]-RegionC-profile                                      0         7.2800066      10.8301749     0.5929    ||                                  

